publication_number,title,abstract,publication_date,assignee,inventor,cpc_code
US-10561782-B2,Medical device and method of detecting the filling level of a bubble chamber,"The present invention relates to a medical device, in particular to a blood treatment apparatus, having a control and processing unit, having at least one structure-borne sound emitter and having at least one structure-borne sound sensor, each configured for coupling to coupling points of a medical tubing kit which can be coupled to the medical device, wherein the filling level of a bubble chamber arranged in the tubing kit can be determined at the tubing kit via the control and processing unit based on the measurement of the structure-borne sound.",20200218,FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH,HEIDE ALEXANDER,A61M2205/18
US-10603464-B2,Sterile barrier product packaging,"Aspects of the disclosure relate to packaging assemblies including a tray having at least one compartment adapted to receive a medical device component or product. The packaging assemblies a barrier film covering the compartment and a lid pivotally attached to the tray; wherein the tray and the lid each include cooperative latching features. The lid defines a recess in which one or more product items can be stored and the packaging assembly further includes a label removably secured over the recess and the sheet of product documentation. Methods of assembling, sterilizing and opening such packaging assemblies are also disclosed.",20200331,MEDTRONIC VASCULAR INC,SPENS COURTNEY,A61L2/206
US-10642942-B2,Method of mapping images of human disease and of designing or selecting a medical device using a surrogate model,"A method of designing or selecting an implantable medical device comprises the steps of: i) obtaining a plurality of measured data points of a characteristic of an anatomical feature of an individual; ii) using said data points to construct a surrogate model of said characteristic, the surrogate model being constructed by interpolating or regressing measured data points of the characteristic, and using said surrogate model to obtain predicted values of said characteristic at a plurality of locations; iii) using said predicted values to determine or select at least one value of a design parameter of the implantable medical device. There is further disclosed a method of monitoring or diagnosing a disease or disorder.",20200505,UNIV SOUTHAMPTON,BRESSLOFF NEIL W,A61F2250/0018
US-10701043-B2,Methods for physical authentication of medical devices during wireless pairing,"Systems and methods for physical authentication of medical devices during wireless pairing are disclosed herein. The method can include receiving a request to initiate coupling. Following the request, a visual identifier can be generated with a light source. The visual identifier can include embedded data used to couple the medical devices. The visual identifier can be captured in image data, which image data can be analyzed and the embedded data can be extracted from the image data. Based on the embedded data that is extracted from the image data, secure coupling between medical devices can be established.",20200630,TC1 LLC,HEPPELL KEVIN,H04W12/33
US-11259882-B1,Robotic surgical instrument system,"Systems and methods are provided for determining acceptable ranges of pressures for use by a robotic arm on a surgical instrument, robotic systems and methods that are limited to using the acceptable ranges of pressures, and the medical devices for use in the robotic surgery. Learning software is included in the methods and systems for correlating manually-performed procedures with pressure sensors as a tactile gauge for qualifying the acceptable ranges of pressures for use by a robotic system.",20220301,INTEGRITY IMPLANTS INC,WALSH CHRISTOPHER,A61F2002/4666
US-10912819-B2,Neuroprotective peptides derived from activity-dependent neuroprotective protein for treatment of neurological diseases,"This invention provides a novel formulation for effective delivery of a pharmaceutically active ingredient such as a peptide possessing neuroprotective activity. Also provided are methods for treating pertinent clinical implications such as autism, schizophrenia, and dementia using the formulation.",20210209,UNIV RAMOT,GOZES ILLANA,A61K47/10
US-2022296924-A1,Artificial intelligence modeling for radiation therapy dose distribution analysis,"Disclosed herein are methods and systems to optimize a radiation therapy treatment plan using dose distribution values predicted via a trained artificial intelligence model. A server trains the AI model using a training dataset comprising data associated with a plurality of previously implemented radiation therapy treatments on a plurality of previous patients and dose distributions associated with one or more organs of each previous patient. The server then executes the trained AI model to predict dose distribution for a patient. The server then displays a heat map illustrating the predicted values, transmits the predicted values to a plan optimizer to generate an optimized treatment plan for the patient, and/or transmits an alert when a treatment plan generated by a plan optimizer deviates from rules and thresholds indicated within the patient&#39;s plan objectives.",20220922,VARIAN MED SYS INC,PELTOLA JARKKO,G16H30/40
US-2022386998-A1,Automated ultrasound video interpretation of a body part with one or more convolutional neural networks,"In an embodiment, an intelligent system includes an electronic circuit configured to execute a neural network, to detect at least one feature in an image of a body portion while executing the neural network, and to determine a respective position and a respective class of each of the detected at least one feature while executing the neural network. For example, such a system can execute a neural network to detect at least one feature in an image of a lung, to determine a respective position within the image of each detected feature, and to classify each of the detected features as one of the following: A-line, B-line, pleural line, consolidation, and pleural effusion.",20221208,TOKITAE LLC,MEHANIAN COUROSH,A61B8/5207
US-2022401176-A1,"Medical device control apparatus using a handpiece gesture and switch status, and method for controlling thereof",Provided are a medical device control apparatus using a handpiece motion and a control method using the same. The medical device control apparatus using the handpiece motion comprises a handpiece which is connected with a medical device body to perform a procedure; a gesture detector which is provided in the handpiece and detects the motion of the handpiece to recognize the gesture of the handpiece; an alarm unit which alarms that a mode of the medical device body is changed from a first state to a second state or parameter values are controlled according to the gesture of the handpiece; control switch which is provided in the handpiece to change the mode of the medical device body or control the parameter values output by the medical device body; and a connection cable which connects the medical device body and the handpiece.,20221222,CHOI JONGWOON,CHOI JONGWOON,A61B2017/00119
US-2023027518-A1,Systems and methods for using photogrammetry to create patient-specific guides for orthopedic surgery,"Systems and methods for generating patient-specific surgical guides comprising: capturing a first and second images of an orthopedic element in different reference frames using a radiographic imaging technique, detecting spatial data defining anatomical landmarks on or in the orthopedic element using a neural network, applying a mask to the orthopedic element defined by an anatomical landmark, projecting the spatial data from the first image and the second image to define volume data, applying the neural network to the volume data to generate a reconstructed three-dimensional (“3D”) model of the orthopedic element; and calculating dimensions for a patient-specific surgical guide configured to abut the orthopedic element.",20230126,MICROPORT ORTHOPEDICS HOLDINGS INC,BOWMAN FRED W,A61B2034/2065
US-2021308418-A1,Adjustable sheath device,"The disclosure generally relates to adjustable sheath devices for insertion into the body to provide intravascular access to various medical devices, involving a dynamically expandable sheath capable of expanding within the blood vessel when a medical device is passed through the sheath and retracting back to almost its original size when the medical device is removed from the sheath. Embodiments generally comprise a rigid collar and an elongated sleeve comprising a continuous elastomeric outer layer and an expandable inner layer.",20211007,Three Peaks Medical Pty Ltd,WORTHLEY STEPHEN,A61M2205/0216
US-2022054631-A1,MHC Class I Associated Hepatitis B Peptides,"The present invention relates to compositions and methods for the prevention, treatment, and diagnosis of Hepatitis B virus (HBV) infection, and discloses peptides, polypeptides, and polynucleotides that can be used to stimulate a CTL response against HBV infection. The peptide and/or proteins of the invention may be used as a therapeutic drug to stimulate the immune system to recognize and eliminate HBV infection in infected cells or as a vaccine for the prevention of disease.",20220224,EMERGEX VACCINES HOLDING LTD,PHILIP RAMILA,A61K39/12
US-2022246290-A1,Device and Method for Detecting an Actuation Action Performable with a Medical Device,"An apparatus is disclosed, comprising a detector unit comprising a detector configured to detect an actuation action performable via the detector unit to an actuation button of a medical device to cause the medical device to eject at least a portion of a medicament comprised in the medical device. The detector is configured to detect the actuation action based on a detection of a force and/or a touch applied to the detector unit as part of the actuation action. The apparatus further comprises an electric unit connected to the detector and configured to store and/or provide information related to the detected actuation action. Furthermore, an according method and a computer program for controlling this method are disclosed.",20220804,SANOFI AVENTIS DEUTSCHLAND,GROESCHKE JASMIN,G16Z99/00
US-2022296204-A1,"Digestive canal scanning device, body scanning device, body scanning method and acoustic-based digestive organ monitoring system","A digestive canal scanning device of the present invention includes a sensor module, a data processing unit, and an analysis unit. A body scanning device of the present invention includes a sensor module, a data processing unit, and an analysis unit. An acoustic digestive organ monitoring system of the present invention includes an auscultation unit, an artifact collection unit, a signal extraction unit, a feature extraction unit, a database, an artificial neural network, and a wireless communication unit.",20220922,UNIV KOREA RES & BUS FOUND,KIM EUN-SUN,A61B7/008
US-2022354379-A1,Methods and Apparatus for Electro-Meridian Diagnostics,"A current sensor may take measurements of electrical currents that flow between two limbs of a patient through at least a portion of the patient&#39;s torso. The current measurements may be taken during a single diagnostic session while the patient holds a ground electrode in a hand of one limb and a probe electrode is sequentially placed at different locations on the distal portions of other limbs. Each of the measurement locations may be an acupuncture point. An electrical current state for the diagnostic session may be calculated. This state may consist of current ranges for one or more electrical currents that are measured during the session. A lookup table may be employed to determine one or more medical conditions that are indicated by the current state. Alternatively, a trained machine learning model may predict, based on the measured currents, one or more medical conditions.",20221110,Ninurta LLC,NEMEH ISSAM,A61B5/7264
US-2021254158-A1,Method for predicting a subjects response to slc modulator therapy,"The present invention provides, inter alia, methods for treating or ameliorating the effects of a disorder, such as schizophrenia or bipolar disorder, by increasing or decreasing proline levels. Further provided are methods of predicting and monitoring the clinical response in a patient, and diagnostic systems for identifying a patient likely to benefit from proline modulation.",20210819,UNIV COLUMBIA,CLELLAND CATHERINE L,G01N2800/52
US-2021332148-A1,Antigen-binding polypeptides directed against cd38,"The invention relates to polypeptides specifically binding to CD38 and are therefore suitable for the diagnosis and for the therapeutic and prophylactic treatment of diseases which are characterized by increased CD38 expression. Conjugates and pharmaceutical compositions comprising the polypeptides are disclosed as well. In addition, the invention relates to the use of such polypeptides in methods for the detection of CD38 and/or CD38-expressing cells in a biological sample. A process for the purification and concentration of CD38 and/or CD38-expressing cells in which the antigen-binding polypeptides are used are also described.",20211028,UNIV MEDICAL CENTER HAMBURG EPPENDORF,NOLTE FRIEDRICH,A61P37/02
US-2021369401-A1,Patient anxiety management system and method of use,"The present disclosure relates to a patient anxiety management system for managing patient anxiety during a dental procedure. In one example, a patient anxiety management system is presented. The patient anxiety management system includes a control module that a patient can use to disactivate a medical device used by a dental professional by way of a trigger mechanism. Upon deactivating the medical device, a recording device, in communication with the control module, plays a recorded message to the patient during a programmable timeframe. Once the patient is calm, the system resets the medical device to an initial operation state by reconnecting but not reactivating the medical device so that the dental professional may resume the procedure when it is safe to proceed.",20211202,NEWSHAM DAVID,NEWSHAM DAVID,A61C1/0046
US-2021301318-A1,"A biomarker and target for diagnosis, prognosis and treatment of ankylosing spondylitis","The present invention relates to a biomarker and target for diagnosis, prognosis and treatment of ankylosing spondylitis (AS). The present invention also relates to a method for producing an animal model for AS, an animal model produced therefrom, and a method for screening for an agent pharmaceutically active in the treatment of A S using such animal model.",20210930,ACADEMIA SINICA,LIN KUO-I,C12N15/1137
US-2022102005-A1,Methods and Systems for Interpreting a Diagnostic Test Result,"In an example, a computer-implemented method for interpreting a diagnostic test result includes receiving a diagnostic test result for an animal patient as a result of a series of diagnostic tests performed on the animal patient, based on the diagnostic test result being indicative of a steroid analyte, initiating an automated clinical decision support interface on a graphical user interface for the diagnostic test result for the animal patient, executing a set of predetermined rules for processing the diagnostic test result for the animal patient to generate a clinical interpretation of the diagnostic test, and responsively providing via the graphical user interface the clinical interpretation of the diagnostic test. In another example, based on the diagnostic test results being indicative of an increased possibility of liver dysfunction, the set of predetermined rules are executed to generate a hepatobiliary alert for inclusion in the automated clinical decision support interface.",20220331,IDEXX LAB INC,GRISLEY EVAN ROBERT,Y02A90/10
US-2020337651-A1,"Monitoring and tracking system, method, article and device",A monitoring system includes one or more monitoring devices configured to detect conditions related to a monitored person and an artificial intelligence module configured to analyze historical information related to conditions of the monitored person and current information related to conditions of the monitored person and determine whether to generate an alert signal based on the analysis. The artificial intelligence module may also be configured to update the historical information related to the conditions of the monitored person based on the current information and responses to the alert signals. The system includes a moveable sensor and a monitored-person identification subsystem.,20201029,KWAN KEVIN,KWAN KEVIN,G16H40/63
US-10921330-B2,Method for diagnosis of dementias and neuroinflammatory diseases based on an increased level of procalcitonin in cerebrospinal fluid,"CSF diagnostic in vitro method for the diagnosis of dementias and neuroinflammatory diseases, in which a determination of the procalcitonin immunoreactivity (PCT immunoreactivity) is carried out in a sample of cerebrospinal fluid (CSF) of a patient who is suffering from a dementia or neuroinflammatory disease or is suspected of suffering from such a disease. Conclusions about the presence, the course, the severity or the success of a treatment of the dementia or neuroinflammatory disease are drawn from a measured PCT immunoreactivity which is above a threshold value typical for healthy individuals.",20210216,BRAHMS GMBH,BERGMANN ANDREAS,G01N33/6896
US-2018243086-A1,Double basket assembly for valve repair,"The invention provides medical devices, systems and methods for tissue approximation and repair and in particular to reduce mitral regurgitation by means of improved coaptation. The devices, systems and methods of the invention will find use in a variety of therapeutic procedures, including endovascular, minimally-invasive, and open surgical procedures, and can be used in various anatomical regions, including the cardiovascular system, heart, other organs, vessels, and tissues. The invention is particularly useful in those procedures requiring minimally-invasive or endovascular access to remote tissue locations, where the instruments utilized must negotiate long, narrow, and tortuous pathways to the treatment site.",20180830,ABBOTT CARDIOVASCULAR SYSTEMS INC,BARBARINO CASEY M,A61F2/246
US-2019000421-A1,Three-dimensional imaging ultrasonic scanning method,"A three-dimensional imaging ultrasonic scanning method applicable to ultrasonic diagnostic instruments is disclosed. The three-dimensional imaging ultrasonic scanning method can simultaneously satisfy different requirements for images during three-dimensional ultrasonic scanning, so that with just one time of scanning, a series of B-mode ultrasound images corresponding to each of the ultrasonic arrays can be obtained, and further three-dimensional images for the tested object can be constructed by a main body portion of ultrasonic diagnosis, laying a better foundation for ultrasonic diagnosis.",20190103,TELEFIELD MEDICAL IMAGING LTD,ZHENG YONGPING,A61B8/466
US-2019030081-A1,Mesenchymal stem cells with enhanced efficacy,"Disclosed are protocols, isolation means, and compositions of matter useful for identifying mesenchymal stem cells possessing enhanced clinical activity. In one embodiment, markers associated with said enhanced mesenchymal stem cell activity are utilized to identify donors whose mesenchymal stem cells possess superior efficacy compared to mesenchymal stem cells from donors who lack said markers associated with said enhanced efficacy. In one embodiment, said markers are utilized to select for mesenchymal stem cells possessing enhanced efficacy from in vitro cultures. In another embodiment, surfaces markers associated with said markers associated with enhanced efficacy are utilized to positively select for cells possessing enhanced efficacy. In another embodiment, the invention teaches markers whose expression is correlated with negative efficacy. Said markers can be utilized to exclude mesenchymal stem cell donors, or in vitro generated and/or isolated mesenchymal stem cells prior to clinical use. In another embodiment the invention teaches a method of augmenting mesenchymal stem cell efficacy by inhibiting the expression of proteins found in higher concentrations in cells without enhanced clinical activity. Additionally, novel mesenchymal stem cells phenotypes are disclosed possessing enhanced efficacy compared to existing mesenchymal stem cells based on unique phenotypic characteristics.",20190131,CELL MEDICINE INC,RIORDAN NEIL,A61P27/00
US-2019083647-A1,Virus-like particle conjugates for diagnosis and treatment of tumors,"The present disclosure is directed to methods and compositions for the diagnosis and/or treatment of tumors, such as ocular tumors, using virus-like particles conjugated to photosensitive molecules.",20190321,AURA BIOSCIENCES INC,DE LOS PINOS ELISABET,A61P35/02
US-2024331848-A1,Method and apparatus for quantitative chronic obstructive pulmonary disease evaluation using analysis of emphysema,A method according to an embodiment of the present disclosure includes obtaining a first finding region in a first medical image and size information of the first finding region; identifying a second finding region matching the first finding region in a second medical image obtained after the first medical image; obtaining size information of the second finding region; and generating diagnosis assistance information based on the size information of the first finding region and the second finding region.,20241003,CORELINE SOFT CO LTD,SEO JOON BEOM,G06T2207/30061
US-2024371497-A1,"System and method for diagnostics and finding treatments for mild cognitive impairment, dementias and neurodegenerative diseases","The invention relates to a system and a method for finding treatments for mild cognitive impairment, dementias and neurodegenerative diseases, the method including collecting brain imaging, laboratory, functional data from a group of cognitively normal individuals, patients with confirmed cases of at least one of the diagnoses, and an examinee with unknown diagnosis; entering the diagnostic data obtained in the previous steps into a computing device; using a machine learning system to produce a plurality of cross-modal regression models specific for each diagnosis; producing the classification module that identifies a disease-specific cross-modal regression model which optimally fits an individual case; assembling an ensemble model from the disease-specific cross-modal regression models and the classification module; deploying and running the ensemble model at the computing device to calculate probabilities of the diseases, output a diagnosis with the highest probability and select the optimal therapeutic plan comprising at least one treatment option.",20241107,UNIV UNITED ARAB EMIRATES,STATSENKO YAUHEN,A61B5/4088
US-2020040074-A1,Antibodies to il-6 and use thereof,"The present invention is directed to antibodies and fragments thereof and humanized versions thereof having binding specificity for IL-6. Another embodiment of this invention relates to the antibodies described herein, and binding fragments thereof, comprising the sequences of the VH, VL and CDR polypeptides described herein, and the polynucleotides encoding them. The invention also contemplates conjugates of anti-IL-6 antibodies and binding fragments thereof conjugated to one or more functional or detectable moieties. The invention also contemplates methods of making said anti-IL-6 antibodies and binding fragments thereof. Embodiments of the invention also pertain to the use of anti-IL-6 antibodies, and binding fragments thereof, for the diagnosis, assessment and treatment of diseases and disorders associated with IL-6. These antibodies may bind at least one of soluble IL-6, cell surface expressed IL-6, IL-6/IL-6R and/or prevent the association of IL-6 and IL-6R, the association of IL-6/IL-6R and gp130 and or the formation of IL-6/IL-6R/gp130 multimers and thereby inhibit a biological effect associated with any of the foregoing.",20200206,ALDERBIO HOLDINGS LLC,GARCIA-MARTINEZ LEON F,A61P35/00
US-2020237705-A1,Method to treat antimicrobial resistant candida,"This disclosure describes the ability of glycerol monolaurate, formulated both as a solution and as a nonaqueous gel, to kill antimicrobial resistant  C. auris . Additionally, this disclosure describes the ability of glycerol monolaurate formulated as a non-aqueous gel to kill clinically isolated  Candida  species.",20200730,HENNEPIN LIFE SCIENCES LLC,SCHLIEVERT PATRICK M,A61K9/06
US-2021059545-A1,"Method for detecting pulsatile dynamics of the optic nerve sheath, diagnostic methods, medical uses, non-invasive markers, systems and transducer devices","The invention relates to a new method, as well as diagnosis. A non-invasive marker, systems and equipment are also included.",20210304,NISONIC AS,BREKKEN REIDAR,A61B5/0042
US-2021100454-A1,System and method of using body temperature logging patch,"Continuous temperature monitors can be used to collect frequent temperature data over large periods of time. A machine learning system trained with collected temperature data can be used to predict future temperature data for patients. Such predictions can be clinically beneficial for disease states in which fever can be fatal, particularly for those fevers having fast onset. For example, patients undergoing chimeric antigen receptor T-cell (CAR-T) therapy may suffer fevers caused by cytokine release syndrome (CRS). Accordingly, a continuous temperature monitor is used to collect temperature data from CAR-T patients with high risk of CRS (or like patients with high fever risk), and the collected temperature data processed by a machine learning system to predict the patient&#39;s future temperature profiles. Results of analysis of the predicted temperature profiles may then be provided to the patient and/or clinician.",20210408,BLUE SPARK TECH INC,GANNON JOHN,G06N3/044
US-2020316250-A1,Bone implant,"The invention relates to the field of medicine and medical technology, namely to bone implants, and can be used in surgery, orthopedics, dentistry. Bone implants made of dense tough fibrous or fine-crystal silicate mineral aggregate or rock, jade, have high strength, resistance to crack formation, biological compatibility and the ability to integrate into bone tissue. The technical result—expanding the field of medical devices for implantation into bone tissue.",20201008,PUGACH ANDREY,PUGACH ANDREY,A61F2002/2835
US-2021353216-A1,Dental Image Feature Detection,"A system includes a computing device that includes a memory configured to store instructions. The system also includes a processor to execute the instructions to perform operations that include receiving data representing one or more images of dental information associated with a patient. Operations include adjusting the data representing the one or more images of dental information into a predefined format, wherein adjusting the data includes adjusting one or more visual parameters associated with the one or more images of dental information. Operations include using a machine learning system to determine a confidence score for one or more portions of the one or more images of dental information, and producing a representation of the determined confidence scores to identify one or more detected features present in the one or more images of dental information.",20211118,VIDEAHEALTH INC,HILLEN FLORIAN,G06V10/774
US-11583221-B2,Cognitive impairment diagnostic apparatus and cognitive impairment diagnostic program,A cognitive impairment diagnostic apparatus includes: a display which displays a video for diagnosis of cognitive impairment on a display surface; an imaging unit which captures images of an eye of a subject; a detection unit which detects viewpoints of the subject on the display surface in time series based on the images captured by the imaging unit; a creation unit which creates a distribution map representing a distribution of the viewpoints detected by the detection unit; a storage unit which stores case characteristic data indicating a characteristic of a viewpoint distribution corresponding to a typical case in cognitive impairment; and a diagnostic unit which diagnoses cognitive impairment of the subject by determining whether the distribution map has the characteristic indicated by the case characteristic data.,20230221,UNIV OSAKA,TAKEDA SHUKO,G16H50/20
US-11717151-B2,Method for early diagnosis of keratoconus based on multi-modal data,"A method for early diagnosis of keratoconus based on multi-modal data considers a mutual relationship between both eyes using four refractive maps for corneas of the both eyes and absolute corneal elevation data, and combines the deep convolutional network method, the traditional support vector machine (SVM) method in machine learning, and the elevation map enhancement method with adjustable best-fit-sphere (BFS) to identify sensitivity and specificity of a focus and balance the sensitivity and specificity. With multi-dimensional comprehensive judgment of a keratoconus morbidity with a patient as a unit, combined with binocular data including both manual selection features and deep network learning from big data, the diagnosis method has higher robustness and accuracy.",20230808,SHANGHAI MEDIWORKS PREC INSTRUMENTS CO LTD,SHEN YANG,A61B3/1005
US-11267965-B2,Polymeric materials for biomedical applications,Crosslinked biodegradable block polyurethane copolymers prepared from a plurality of biodegradable polymers or oligomers linked together via urethane bonds and crosslinked via a citrate ester are disclosed. Such copolymers can include folic acid and fabricated into medical devices such as a nerve growth conduit and locally deliver folic acid to a site of injury such as a PNS injury site.,20220308,ALEO BME INC,LIU CHAO,C08G18/4833
US-11521373-B1,System for estimating a three dimensional pose of one or more persons in a scene,A system for estimating a three dimensional pose of one or more persons in a scene is disclosed herein. The system includes one or more cameras and a data processor configured to execute computer executable instructions. The computer executable instructions include: (i) receiving one or more images of the scene from the one or more cameras; (ii) extracting features from the one or more images of the scene for providing inputs to a first branch pose estimation neural network and second branch pose estimation neural network; (iii) generating a first training signal from the second branch pose estimation neural network using a three dimensional reconstruction module for input into the first branch pose estimation neural network; (iv) generating one or more volumetric heatmaps; and (v) applying a maximization function to the one or more volumetric heatmaps to obtain a 3D pose of one or more persons in the scene.,20221206,BERTEC CORP,AKBAS EMRE,G06N3/048
US-11590088-B2,Use of Tapinarof for the treatment of chronic plaque psoriasis,"Topical compositions and methods for using topical compositions comprising tapinarof to treat mild to moderate atopic dermatitis or plaque psoriasis are described herein. Also described are clinical endpoints for treatment of subjects diagnosed with mild to moderate atopic dermatitis, wherein about 5% to about 35% of body surface area was affected, and Investigator Global Assessment (IGA) score was greater than or equal to 3. Also described are clinical endpoints for treatment of subjects diagnosed with chronic mild to moderate plaque psoriasis for greater than or equal to 6 months, wherein about 3% to about 20% of body surface area was affected, and Physician Global Assessment (PGA) score was greater than or equal to 2.",20230228,Dermavant Sciences GmbH,KRAUS JOHN E,A61K31/05
US-2023102081-A1,Compound as cyclin-dependent kinase 9 inhibitor and use thereof,"Disclosed is a compound as shown in formula (I) or a pharmaceutically acceptable salt, a stereoisomer, an isotope derivative or a prodrug thereof. The compound has an excellent activity as a cyclin-dependent kinase 9 (CDK9) inhibitor for treating hyperproliferative diseases. The experimental research on in vitro inhibition of cell proliferation and in vivo suppression of tumors shows that such compounds have a relatively strong inhibitory effect on MV4;11 cells and in vivo tumor models, and have a good selectivity and a low toxicity and few side effects, thereby possessing a good clinical value as novel anti-tumor drugs.",20230330,CSPC ZHONGQI PHARMACEUTICAL TECH SHIJIAZHUANG CO LTD,WANG ZHENYU,C07D409/12
US-2023177686-A1,Automated multi-class segmentation of digital mammogram,"This document describes methods and systems for training a machine learning model to segment digital breast images into key regions of interest, and also for using the model on a new digital breast image to assess whether the breast image exhibits adequate image quality, report the image quality, and/or to use these data to reconstruct or process the new breast image.",20230608,REAL TIME TOMOGRAPHY LLC,NG SUSAN,G06T2207/30068
US-2023218303-A1,"Frame components of a medical device, system and method thereof","Medical devices, systems and methods for occluding a left atrial appendage of a heart. In one embodiment, a medical device system includes a pusher catheter with a medical device coupled adjacent a distal end of the pusher catheter. The medical device includes a primary hub and a secondary hub with a framework extending therebetween, the primary hub including grooves defined therein. The framework is moveable between constricted and expanded positions such that as the framework moves to the constricted position the grooves are configured to align portions of the framework as the secondary hub moves through the bore of the primary hub. In another embodiment, components of the framework may be configured to minimize resistance in the system as the medical device is delivered and moved between the constricted and expanded positions.",20230713,COHEREX MEDICAL INC,LEE SUNG K,A61B17/1214
US-2023222816-A1,"Electronic device, information processing device, alertness level calculating method, and alertness level calculating program","An electronic device  10  includes an image-capturing unit  11,  a line-of-sight detector  12,  and a controller  14.  The image-capturing unit  11  generates an image corresponding to the view by performing image capturing. The line-of-sight detector detects a line of sight of a subject with respect to the view. The controller  14  functions as a first estimator  15.  The first estimator  15  is capable of estimating a first heat map based on the image. The controller  14  calculates the alertness level of the subject based on the first heat map and the line of sight of the subject. The first estimator  15  is constructing using learning data obtained by machine learning the relationship between a learning image and a line of sight of a training subject when an alertness level of the training subject is in a first range.",20230713,KYOCERA CORP,SHINOZAKI TAKAYUKI,G06V20/597
US-2023256193-A1,Medical device,"A medical device includes: a medicinal agent storage device connected to the catheter, a flow control device, and a package. The medicinal agent storage device includes a storage part and a second channel, the storage part is configured to store a medicinal agent, and wherein the second channel provides fluid communication between the storage part and the first channel. The package encloses the catheter, the medicinal agent storage device, and the flow control device in a sterilized state. In a first state, the flow control device is configured to prevent the medicinal agent from flowing from the storage part into the first channel. The flow control device is included in the catheter or included in the medicinal agent storage device.",20230817,OLYMPUS MEDICAL SYSTEMS CORP,NOMURA KAYO,A61M25/0017
US-2023351592-A1,Clinical decision support system having a multi-ordered hierarchy of classification modules,"A clinical support system and method for real-time activation of detection and characterization modules trained for identification or diagnosis of anomalies within a gastrointestinal tract are disclosed. A clinical support computer can be programmed to activate a first mucosa identification module and a first plurality of detection and characterization modules based at least in part on detection of connection to the endoscope, monitor an image stream from the endoscope using the first mucosa identification module to identify a mucosal tissue type, execute a first detection module from the first plurality of detection and characterization modules based on identifying the mucosal tissue type as a first mucosal tissue type, and process an image from the image stream received from the endoscope using the first detection module to identify a region of interest to output to the display device, wherein the region of interest identifies a potential anomaly within the image.",20231102,FILICIOTTO FRANK,FILICIOTTO FRANK,G06T7/0012
US-2023363703-A1,System and method including affect in pain level recognition,"A system and method for pain level recognition using an automated approach which incorporates a pain-affect dataset comprising bioVid pain and bioVid emotion datasets for the assessment of patient pain in clinical settings where patients often experience other affect states, such as anger and anxiety, in addition to pain.",20231116,UNIV SOUTH FLORIDA,CANAVAN SHAUN JOSEPH,G06V10/82
US-11420050-B2,Neural prosthesis system and method of control,"Multiple designs, systems, methods and processes for control using electrical signals recorded from clinically paralyzed muscles and nerves are presented. The discomplete neural prosthesis system and method for clinically paralyzed humans utilizes a controller. The controller is adapted to receive a volitional electrical signal generated by the human that is manifest below the lesion that causes the clinical paralysis. The controller uses at least the volitional electrical signal to generate a control signal that is output back to a plant to change the state of the plant, which in one aspect is one or more of the user&#39;s paralyzed muscles to achieve a functional result or to devices in the environment around the user that are adapted to receive commands from the controller.",20220823,UNIV CASE WESTERN RESERVE,MOSS CHRISTA WHEELER,A61N1/36067
US-11461700-B2,Methods and systems for using artificial intelligence to analyze user activity data,"A system for using artificial intelligence to analyze user activity data, the system comprising a computing device configured to receive from a user, at least a biological extraction and at least a user activity datum, determine a current user location, generate a diagnostic output as a function of the biological extraction, wherein the diagnostic output comprises a condition of the user, retrieve, from a fingerprint database, at least a datum of user fingerprint data, identify a plurality of compatible elements at the current user location as a function of the condition of the user, select at least a compatible element as a function of the fingerprint data, and present, via a graphical user interface, the at least a compatible element to a user device.",20221004,KPN INNOVATIONS LLC,NEUMANN KENNETH,G06F3/011
US-11480933-B2,Neural networks for occupiable space automation,Provided herein is a system for occupiable space automation using neural networks that delivers scalable and more intelligent occupiable space automation that can continuously learn from user actions and experiences and adapt to specific needs of each individual occupiable space. The occupiable space automation control system is built based on brain inspired multi-layer neural network with plastic connectivity between neurons. The occupiable space automation control system is configured to (a) adaptively predict previously learned activity patterns and (b) alert about potentially harmful or undesired activity patterns of the plurality of periphery devices based on response events of the plurality of artificial neurons and coupling strengths of the plurality of synapses. The occupiable space automation control system is configured to automatically operate the at least one controller based on the predicted activity pattern and/or provide user alerts based on a detected harmful activity pattern.,20221025,BAZHENOV MAKSIM,BAZHENOV MAKSIM,G06N3/044
US-11793764-B2,siRNA nanocapsule and preparation method and use thereof,"The present disclosure provides an siRNA nanocapsule and a preparation method and use thereof, relating to the technical field of biomedical engineering. The siRNA nanocapsule provided in the present disclosure includes siRNA and a shell encapsulating the siRNA and polymerized by a monomer A and a monomer B. The monomer A has a double bond at one end, and is electrostatically bound with the siRNA, and the monomer B includes molecules for improving tumor microenvironment sensitivity. The siRNA nanocapsule provided in the present disclosure is suitable for a wide range of clinical applications.",20231024,UNIV HENAN,SHI BINGYANG,A61K9/5138
US-2021330416-A1,Clinical diagnosis and treatment planning system and methods of use,"A spinal disorder diagnosis and treatment planning system is provided. The diagnosis and treatment planning system includes a mixed reality holographic display including at least one processor, at least one camera, at least one sensor, and being configured to acquire data points corresponding to a surface of a body adjacent to vertebral tissue. A computer database is configured to transmit imaging of the body including the vertebral tissue to the mixed reality holographic display. The mixed reality holographic display is configured to display a first holographic image of the vertebral tissue superimposed with a body image including the surface. Methods are also disclosed.",20211028,WARSAW ORTHOPEDIC INC,REDMOND JERALD,A61B2090/376
